[36mapp_1      |[0m 2019-06-28T10:24:56.670974077Z {:checkpoints [{:id 1341982805, :name :ow.logging.log/log, :file "dependencies.clj", :fn "eval45848$inject_dependencies__45850$fn__45852$fn__45853", :line 31, :ns "ow.system.dependencies", :time #inst "2019-06-28T10:24:56.670-00:00"}], :data {}, :level :debug, :msg "Injecting into :resource-deprovisioner#0: :infrastructure-backend"}
[36mapp_1      |[0m 2019-06-28T10:24:56.671278935Z {:checkpoints [{:id 1023721151, :name :ow.logging.log/log, :file "dependencies.clj", :fn "eval45848$inject_dependencies__45850$fn__45852$fn__45853", :line 31, :ns "ow.system.dependencies", :time #inst "2019-06-28T10:24:56.671-00:00"}], :data {}, :level :debug, :msg "Injecting into :resource-deprovisioner#0: :heroku-platform-api"}
[36mapp_1      |[0m 2019-06-28T10:24:56.671607381Z {:checkpoints [{:id 289119377, :name :ow.logging.log/log, :file "dependencies.clj", :fn "eval45848$inject_dependencies__45850$fn__45852$fn__45853", :line 31, :ns "ow.system.dependencies", :time #inst "2019-06-28T10:24:56.671-00:00"}], :data {}, :level :debug, :msg "Injecting into :resource-deprovisioner#0: :resource-database"}
[36mapp_1      |[0m 2019-06-28T10:24:56.671931529Z {:checkpoints [{:id 1764959709, :name :ow.logging.log/log, :file "lifecycles.clj", :fn "eval45901$start_or_stop_component__45903", :line 6, :ns "ow.system.lifecycles", :time #inst "2019-06-28T10:24:56.671-00:00"}], :data {}, :level :info, :msg "Component :resource-deprovisioner#0: start"}
[36mapp_1      |[0m 2019-06-28T10:25:50.875506002Z {:checkpoints [{:id 386157152, :name "provision-resource", :file "heroku_resources_resource.clj", :fn "make_handler$fn__48561", :line 13, :ns "heroku_addon_test.heroku_resources_resource", :time #inst "2019-06-28T10:25:50.869-00:00"} {:id 1114293885, :name "oauth-exchange", :file "oauth_token_exchanger.clj", :fn "handler", :line 12, :ns "heroku_addon_test.oauth_token_exchanger", :time #inst "2019-06-28T10:25:50.871-00:00"} {:id 1151448180, :name :ow.logging.log/log, :file "memory.clj", :fn "?", :line 25, :ns "heroku_addon_test.heroku.platform_api.memory.HerokuPlatformApiMemory", :time #inst "2019-06-28T10:25:50.874-00:00"}], :data {:http/uuid "\"\\\"01234567-89ab-cdef-0123-456789abcdef\\\"\"", :http/oauth_grant "\"{:expires_at \\\"2016-03-03T18:01:31-0800\\\", :type \\\"authorization_code\\\", :code \\\"01234567-89ab-cdef-0123-456789abcdef\\\"}\"", :oauth/type "\"authorization_code\"", :oauth/code "\"01234567-89ab-cdef-0123-456789abcdef\"", :oauth/expires_at "\"2016-03-03T18:01:31-0800\"", :uuid "\"01234567-89ab-cdef-0123-456789abcdef\""}, :level :warn, :msg "get-token"}
[36mapp_1      |[0m 2019-06-28T10:25:50.875786465Z {:checkpoints [{:id 386157152, :name "provision-resource", :file "heroku_resources_resource.clj", :fn "make_handler$fn__48561", :line 13, :ns "heroku_addon_test.heroku_resources_resource", :time #inst "2019-06-28T10:25:50.869-00:00"} {:id 1114293885, :name "oauth-exchange", :file "oauth_token_exchanger.clj", :fn "handler", :line 12, :ns "heroku_addon_test.oauth_token_exchanger", :time #inst "2019-06-28T10:25:50.871-00:00"} {:id 304137682, :name :ow.logging.log/log, :file "oauth_token_exchanger.clj", :fn "handler", :line 17, :ns "heroku_addon_test.oauth_token_exchanger", :time #inst "2019-06-28T10:25:50.875-00:00"}], :data {:http/uuid "\"\\\"01234567-89ab-cdef-0123-456789abcdef\\\"\"", :http/oauth_grant "\"{:expires_at \\\"2016-03-03T18:01:31-0800\\\", :type \\\"authorization_code\\\", :code \\\"01234567-89ab-cdef-0123-456789abcdef\\\"}\"", :oauth/type "\"authorization_code\"", :oauth/code "\"01234567-89ab-cdef-0123-456789abcdef\"", :oauth/expires_at "\"2016-03-03T18:01:31-0800\""}, :level :debug, :msg "will exchange code for token"}
[36mapp_1      |[0m 2019-06-28T10:25:50.875920782Z {:checkpoints [{:id 386157152, :name "provision-resource", :file "heroku_resources_resource.clj", :fn "make_handler$fn__48561", :line 13, :ns "heroku_addon_test.heroku_resources_resource", :time #inst "2019-06-28T10:25:50.869-00:00"} {:id 948858685, :name "resource-provisioner", :file "resource_provisioner.clj", :fn "handler", :line 22, :ns "heroku_addon_test.resource_provisioner", :time #inst "2019-06-28T10:25:50.872-00:00"} {:id 1425381135, :name "ensure-account", :file "resource_provisioner.clj", :fn "handler$ensure_account__48057", :line 28, :ns "heroku_addon_test.resource_provisioner", :time #inst "2019-06-28T10:25:50.874-00:00"} {:id 2127934082, :name :ow.logging.log/log, :file "memory.clj", :fn "?", :line 17, :ns "heroku_addon_test.infrastructure_backend.memory.InfrastructureBackendMemory", :time #inst "2019-06-28T10:25:50.875-00:00"}], :data {:http/uuid "\"\\\"01234567-89ab-cdef-0123-456789abcdef\\\"\"", :http/oauth_grant "\"{:expires_at \\\"2016-03-03T18:01:31-0800\\\", :type \\\"authorization_code\\\", :code \\\"01234567-89ab-cdef-0123-456789abcdef\\\"}\"", :data "{:name \"01234567-89ab-cdef-0123-456789abcdef\"}"}, :level :warn, :msg "create-account"}
[36mapp_1      |[0m 2019-06-28T10:25:50.876167943Z {:checkpoints [{:id 386157152, :name "provision-resource", :file "heroku_resources_resource.clj", :fn "make_handler$fn__48561", :line 13, :ns "heroku_addon_test.heroku_resources_resource", :time #inst "2019-06-28T10:25:50.869-00:00"} {:id 1114293885, :name "oauth-exchange", :file "oauth_token_exchanger.clj", :fn "handler", :line 12, :ns "heroku_addon_test.oauth_token_exchanger", :time #inst "2019-06-28T10:25:50.871-00:00"} {:id 2145867028, :name :ow.logging.log/log, :file "memory.clj", :fn "?", :line 17, :ns "heroku_addon_test.heroku.platform_api.memory.HerokuPlatformApiMemory", :time #inst "2019-06-28T10:25:50.875-00:00"}], :data {:http/uuid "\"\\\"01234567-89ab-cdef-0123-456789abcdef\\\"\"", :http/oauth_grant "\"{:expires_at \\\"2016-03-03T18:01:31-0800\\\", :type \\\"authorization_code\\\", :code \\\"01234567-89ab-cdef-0123-456789abcdef\\\"}\"", :oauth/type "\"authorization_code\"", :oauth/code "\"01234567-89ab-cdef-0123-456789abcdef\"", :oauth/expires_at "\"2016-03-03T18:01:31-0800\"", :uuid "\"01234567-89ab-cdef-0123-456789abcdef\"", :code "\"01234567-89ab-cdef-0123-456789abcdef\""}, :level :warn, :msg "grant"}
[36mapp_1      |[0m 2019-06-28T10:25:50.877767280Z {:checkpoints [{:id 386157152, :name "provision-resource", :file "heroku_resources_resource.clj", :fn "make_handler$fn__48561", :line 13, :ns "heroku_addon_test.heroku_resources_resource", :time #inst "2019-06-28T10:25:50.869-00:00"} {:id 948858685, :name "resource-provisioner", :file "resource_provisioner.clj", :fn "handler", :line 22, :ns "heroku_addon_test.resource_provisioner", :time #inst "2019-06-28T10:25:50.872-00:00"} {:id 521282441, :name "ensure-resource", :file "resource_provisioner.clj", :fn "handler$ensure_resource__48065", :line 36, :ns "heroku_addon_test.resource_provisioner", :time #inst "2019-06-28T10:25:50.876-00:00"} {:id 1114571072, :name :ow.logging.log/log, :file "memory.clj", :fn "?", :line 36, :ns "heroku_addon_test.infrastructure_backend.memory.InfrastructureBackendMemory", :time #inst "2019-06-28T10:25:50.877-00:00"}], :data {:http/uuid "\"\\\"01234567-89ab-cdef-0123-456789abcdef\\\"\"", :http/oauth_grant "\"{:expires_at \\\"2016-03-03T18:01:31-0800\\\", :type \\\"authorization_code\\\", :code \\\"01234567-89ab-cdef-0123-456789abcdef\\\"}\"", :accountid "16882224", :type ":postgres", :config "{}"}, :level :warn, :msg "provision-resource"}
[36mapp_1      |[0m 2019-06-28T10:25:50.878177641Z {:checkpoints [{:id 386157152, :name "provision-resource", :file "heroku_resources_resource.clj", :fn "make_handler$fn__48561", :line 13, :ns "heroku_addon_test.heroku_resources_resource", :time #inst "2019-06-28T10:25:50.869-00:00"} {:id 948858685, :name "resource-provisioner", :file "resource_provisioner.clj", :fn "handler", :line 22, :ns "heroku_addon_test.resource_provisioner", :time #inst "2019-06-28T10:25:50.872-00:00"} {:id 521282441, :name "ensure-resource", :file "resource_provisioner.clj", :fn "handler$ensure_resource__48065", :line 36, :ns "heroku_addon_test.resource_provisioner", :time #inst "2019-06-28T10:25:50.876-00:00"} {:id 315151618, :name :ow.logging.log/log, :file "memory.clj", :fn "?", :line 13, :ns "heroku_addon_test.infrastructure_backend.memory.InfrastructureBackendMemory", :time #inst "2019-06-28T10:25:50.877-00:00"}], :data {:http/uuid "\"\\\"01234567-89ab-cdef-0123-456789abcdef\\\"\"", :http/oauth_grant "\"{:expires_at \\\"2016-03-03T18:01:31-0800\\\", :type \\\"authorization_code\\\", :code \\\"01234567-89ab-cdef-0123-456789abcdef\\\"}\"", :accountid "16882224", :type ":postgres", :id "16882224"}, :level :warn, :msg "get-account"}
[36mapp_1      |[0m 2019-06-28T10:25:50.879195363Z {:checkpoints [{:id 386157152, :name "provision-resource", :file "heroku_resources_resource.clj", :fn "make_handler$fn__48561", :line 13, :ns "heroku_addon_test.heroku_resources_resource", :time #inst "2019-06-28T10:25:50.869-00:00"} {:id 948858685, :name "resource-provisioner", :file "resource_provisioner.clj", :fn "handler", :line 22, :ns "heroku_addon_test.resource_provisioner", :time #inst "2019-06-28T10:25:50.872-00:00"} {:id 1444517317, :name :ow.logging.log/log, :file "resource_provisioner.clj", :fn "handler", :line 47, :ns "heroku_addon_test.resource_provisioner", :time #inst "2019-06-28T10:25:50.878-00:00"}], :data {:http/uuid "\"\\\"01234567-89ab-cdef-0123-456789abcdef\\\"\"", :http/oauth_grant "\"{:expires_at \\\"2016-03-03T18:01:31-0800\\\", :type \\\"authorization_code\\\", :code \\\"01234567-89ab-cdef-0123-456789abcdef\\\"}\"", :accinfo "{:name \"01234567-89ab-cdef-0123-456789abcdef\", :id 16882224}", :dbinfo "{:id 482895021}"}, :level :debug, :msg "resource-provisioning done"}
[36mapp_1      |[0m 2019-06-28T10:25:50.879494178Z {:checkpoints [{:id 386157152, :name "provision-resource", :file "heroku_resources_resource.clj", :fn "make_handler$fn__48561", :line 13, :ns "heroku_addon_test.heroku_resources_resource", :time #inst "2019-06-28T10:25:50.869-00:00"} {:id 948858685, :name "resource-provisioner", :file "resource_provisioner.clj", :fn "handler", :line 22, :ns "heroku_addon_test.resource_provisioner", :time #inst "2019-06-28T10:25:50.872-00:00"} {:id 1210555290, :name :ow.logging.log/log, :file "memory.clj", :fn "?", :line 29, :ns "heroku_addon_test.heroku.platform_api.memory.HerokuPlatformApiMemory", :time #inst "2019-06-28T10:25:50.879-00:00"}], :data {:http/uuid "\"\\\"01234567-89ab-cdef-0123-456789abcdef\\\"\"", :http/oauth_grant "\"{:expires_at \\\"2016-03-03T18:01:31-0800\\\", :type \\\"authorization_code\\\", :code \\\"01234567-89ab-cdef-0123-456789abcdef\\\"}\"", :uuid "\"01234567-89ab-cdef-0123-456789abcdef\""}, :level :warn, :msg "mark-as-provisioned"}
[36mapp_1      |[0m 2019-06-28T10:25:50.879858584Z {:checkpoints [{:id 386157152, :name "provision-resource", :file "heroku_resources_resource.clj", :fn "make_handler$fn__48561", :line 13, :ns "heroku_addon_test.heroku_resources_resource", :time #inst "2019-06-28T10:25:50.869-00:00"} {:id 948858685, :name "resource-provisioner", :file "resource_provisioner.clj", :fn "handler", :line 22, :ns "heroku_addon_test.resource_provisioner", :time #inst "2019-06-28T10:25:50.872-00:00"} {:id 611894828, :name :ow.logging.log/log, :file "memory.clj", :fn "?", :line 25, :ns "heroku_addon_test.heroku.platform_api.memory.HerokuPlatformApiMemory", :time #inst "2019-06-28T10:25:50.879-00:00"}], :data {:http/uuid "\"\\\"01234567-89ab-cdef-0123-456789abcdef\\\"\"", :http/oauth_grant "\"{:expires_at \\\"2016-03-03T18:01:31-0800\\\", :type \\\"authorization_code\\\", :code \\\"01234567-89ab-cdef-0123-456789abcdef\\\"}\"", :uuid "\"01234567-89ab-cdef-0123-456789abcdef\""}, :level :warn, :msg "get-token"}
